t_hours,a,e,i,omega,raan,v
0.9166666666666666,7066915.471015044,0.00022817489682024842,1.7136790579414864,-1.8887381080149388,2.6246666236081944,-0.8897467697321298
0.9333333333333333,7066085.076127438,0.00022261512440061558,1.7136874924591874,-1.3191368611911516,2.6246701844221993,-1.3955662751630151
0.95,7065156.62710321,0.00026768831866780273,1.7136969261947526,-0.7867019085889788,2.6246749001696514,-1.8642215165446483
0.9666666666666667,7064145.397683299,0.0003523420876337375,1.71370720486114,-0.40159624069736344,2.6246808894361733,-2.1855495953242277
0.9833333333333333,7063068.101217067,0.00045995559557101504,1.7137181593717896,-0.13170141285461412,2.624688249168206,-2.3916690235176294
1.0,7061942.6007502265,0.000580317407554359,1.7137296087163676,0.07106620336412339,2.624697052778717,-2.5306634703080664
1.0166666666666666,7060787.29993648,0.0007075915772046333,1.7137413660995893,0.23521537266445192,2.6247073512588526,-2.6310417133510713
1.0333333333333334,7059620.757831886,0.0008379203313073055,1.7137532428261926,0.3759621988705826,2.624719174031381,-2.708019841868082
1.05,7058461.5572819635,0.0009683287898198346,1.7137650496254866,0.5016868288975638,2.624732528082994,-2.7699779612781517
1.0666666666666667,7057328.093809733,0.001096282476752858,1.7137765988033726,0.6172799168559528,2.624747397750533,-2.8218066577854075
1.0833333333333333,7056238.427270263,0.0012194943813304006,1.7137877057728523,0.7257685962024465,2.6247637435840807,-2.866532971282767
1.1,7055210.258788711,0.0013358267522847168,1.7137981893233751,0.8291191205502475,2.6247814983469917,-2.906123036867326
1.1166666666666667,7054260.624491409,0.0014432792235961902,1.7138078747937067,0.9286583065627969,2.6248005656813573,-2.9419035278552506
1.1333333333333333,7053405.2667792,0.0015400379708895924,1.7138166005530329,1.0253201149809017,2.6248208256019887,-2.974808237258765
1.15,7052658.14594409,0.001624515673047281,1.713824223066166,1.1197964284210837,2.624842141698806,-3.0055288575381676
1.1666666666666667,7052031.27783752,0.0016953572331110873,1.7138306186367798,1.2126251373023897,2.624864364596789,-3.034603069694105
1.1833333333333333,7051534.716195318,0.0017514330972273904,1.713835683670759,1.3042408289154288,2.624887331785962,-3.0624652357803672
1.2,7051176.495883167,0.0017918413499082473,1.7138393353310173,1.3950057000455525,2.624910866259948,-3.089477314814556
1.2166666666666666,7050962.455700433,0.001815927389913607,1.7138415134112681,1.4852317755631457,2.624934778472014,-3.115951084317155
1.2333333333333334,7050896.054934732,0.0018233050878076948,1.7138421822571697,-4.707984044451239,2.6249588736987386,3.141016809837912
1.25,7050978.350600169,0.0018138574354907983,1.7138413310264184,-4.618001101270291,2.624982957929007,3.1147859668006728
1.2666666666666666,7051208.031506074,0.0017877311979948593,1.7138389733498627,-4.527733930115912,2.6250068370301682,3.0882711794026925
1.2833333333333334,7051581.379837638,0.0017453430403291698,1.713835147713038,-4.43689773310343,2.6250303164732207,3.0611879032202745
1.3,7052092.311425354,0.0016873766784283142,1.7138299170097193,-4.345175485450587,2.6250532078208946,3.033219359680182
